Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2013-04-14,16.1,27.7,0.0,5.4,10.6,24.0,17.0,13.0,72.0,54.0,1013.9,1010.9,2.0,2.0,19.0,25.2
2013-04-15,17.4,27.9,0.0,5.8,5.7,37.0,9.0,11.0,75.0,49.0,1010.1,1007.4,7.0,4.0,19.0,26.2
2013-04-16,16.9,22.0,7.0,3.2,4.4,41.0,17.0,20.0,88.0,69.0,1015.0,1013.5,8.0,6.0,17.2,21.4
2013-04-17,14.2,23.6,0.0,4.0,7.7,30.0,13.0,17.0,75.0,65.0,1016.7,1014.0,1.0,7.0,17.7,21.9
2013-04-18,15.4,24.5,0.2,2.6,9.1,41.0,15.0,26.0,76.0,69.0,1014.7,1012.5,1.0,6.0,18.5,21.4
2013-04-19,13.3,20.2,0.4,4.6,10.5,65.0,20.0,35.0,50.0,39.0,1014.7,1012.8,2.0,4.0,15.3,20.0
2013-04-20,12.2,19.0,33.6,,1.2,65.0,17.0,30.0,92.0,68.0,1013.7,1014.1,8.0,7.0,14.6,17.5
2013-04-21,10.9,22.2,32.8,2.8,9.7,33.0,15.0,15.0,71.0,56.0,1016.1,1012.4,1.0,1.0,14.4,20.0
2013-04-22,13.9,24.7,0.2,2.6,8.1,41.0,13.0,11.0,85.0,39.0,1011.0,1006.9,6.0,2.0,14.6,24.2
2013-04-23,12.7,25.3,0.2,3.6,10.4,43.0,15.0,15.0,57.0,43.0,1012.7,1011.7,1.0,2.0,16.9,23.4
2013-04-24,12.3,23.8,0.0,3.6,10.8,35.0,20.0,13.0,62.0,27.0,1018.9,1015.9,1.0,1.0,15.5,23.4
2013-04-25,12.5,23.2,0.0,4.8,10.1,33.0,20.0,17.0,52.0,45.0,1021.8,1019.5,2.0,1.0,15.1,20.3
2013-04-26,14.0,27.2,0.0,3.4,10.7,41.0,17.0,13.0,56.0,30.0,1022.6,1019.1,1.0,0.0,17.3,25.9
2013-04-27,14.0,26.3,0.0,4.4,9.5,26.0,17.0,19.0,65.0,51.0,1022.0,1017.7,1.0,1.0,17.2,22.6
2013-04-28,14.4,28.7,0.0,4.6,10.1,28.0,7.0,15.0,59.0,29.0,1019.0,1016.0,1.0,1.0,18.6,28.1
2013-04-29,15.9,26.5,0.0,6.2,9.3,26.0,13.0,13.0,59.0,73.0,1022.4,1020.9,1.0,3.0,18.5,22.6
2013-04-30,18.4,22.7,0.0,2.8,4.0,35.0,15.0,19.0,80.0,71.0,1025.6,1022.4,7.0,7.0,19.7,20.5
2013-05-01,16.9,25.0,0.0,1.2,7.4,37.0,15.0,17.0,86.0,61.0,1018.7,1014.3,7.0,5.0,18.1,24.2
2013-05-02,14.4,20.3,0.0,5.6,7.4,46.0,13.0,20.0,53.0,51.0,1025.3,1025.2,1.0,4.0,15.1,18.7
2013-05-03,11.1,22.9,0.0,3.0,10.2,31.0,19.0,19.0,72.0,51.0,1026.7,1020.5,1.0,7.0,14.0,20.9
2013-05-04,14.0,26.4,0.0,4.4,6.2,56.0,19.0,37.0,50.0,56.0,1017.9,1018.5,7.0,3.0,17.4,20.2
2013-05-05,12.7,20.1,0.0,6.4,9.1,37.0,15.0,7.0,56.0,38.0,1025.1,1022.1,6.0,1.0,14.5,19.7
2013-05-06,10.8,20.1,0.0,3.4,8.2,35.0,13.0,17.0,68.0,60.0,1026.6,1024.5,3.0,7.0,14.3,19.2
2013-05-07,11.7,21.5,0.0,3.0,8.8,31.0,13.0,19.0,76.0,55.0,1028.7,1027.1,2.0,6.0,15.2,19.9
2013-05-08,12.4,21.6,0.0,3.4,5.3,22.0,13.0,9.0,80.0,51.0,1031.1,1028.1,7.0,4.0,15.2,21.2
2013-05-09,12.1,23.2,0.0,1.8,10.2,24.0,17.0,13.0,79.0,54.0,1030.7,1027.4,1.0,1.0,14.7,22.0
2013-05-10,12.5,23.5,0.0,3.6,10.0,26.0,20.0,13.0,77.0,53.0,1030.8,1028.4,1.0,1.0,14.3,22.9
2013-05-11,13.0,22.1,0.0,2.0,4.3,31.0,22.0,22.0,77.0,69.0,1030.2,1027.5,5.0,6.0,15.2,20.8
2013-05-12,14.0,22.1,0.0,3.6,7.0,28.0,13.0,13.0,93.0,59.0,1027.2,1022.7,8.0,2.0,14.3,21.4
2013-05-13,13.7,22.8,0.0,2.0,1.8,28.0,9.0,11.0,88.0,53.0,1018.9,1014.2,7.0,8.0,14.4,21.9
2013-05-14,14.2,21.3,0.0,2.4,6.9,41.0,20.0,13.0,60.0,31.0,1013.8,1011.1,7.0,6.0,14.2,20.0
2013-05-15,9.2,20.6,0.2,2.8,9.8,46.0,15.0,28.0,59.0,34.0,1013.2,1009.6,1.0,3.0,13.6,20.1
2013-05-16,13.6,20.6,0.0,5.4,8.3,50.0,22.0,31.0,55.0,36.0,1010.3,1007.3,2.0,3.0,16.9,19.4
2013-05-17,12.2,19.6,0.0,4.6,10.1,57.0,24.0,28.0,50.0,33.0,1011.9,1010.4,1.0,1.0,14.7,18.6
2013-05-18,11.1,20.6,0.0,3.8,10.1,41.0,17.0,22.0,53.0,31.0,1014.7,1011.8,1.0,1.0,13.2,19.1
2013-05-19,9.8,20.2,0.0,3.6,9.1,39.0,20.0,20.0,54.0,30.0,1016.8,1014.1,2.0,1.0,12.1,19.0
2013-05-20,10.1,20.7,0.0,4.0,8.5,44.0,19.0,22.0,61.0,37.0,1018.7,1014.7,4.0,3.0,11.3,19.6
2013-05-21,10.1,22.5,0.0,4.0,9.1,54.0,22.0,20.0,55.0,32.0,1015.3,1012.3,3.0,7.0,15.4,21.8
2013-05-22,9.4,16.0,0.0,2.2,1.3,31.0,17.0,20.0,71.0,79.0,1015.0,1010.1,6.0,8.0,11.2,14.5
2013-05-23,10.6,17.4,27.2,5.2,0.7,48.0,11.0,22.0,93.0,71.0,1013.7,1012.7,7.0,6.0,13.4,16.4
2013-05-24,12.7,20.6,30.6,2.4,5.8,48.0,28.0,24.0,89.0,47.0,1019.1,1017.9,7.0,7.0,13.0,20.1
2013-05-25,10.6,21.3,20.0,3.8,9.4,,22.0,15.0,83.0,50.0,1023.7,1022.1,1.0,1.0,12.2,20.8
2013-05-26,9.5,21.3,0.0,1.8,10.1,30.0,20.0,4.0,70.0,45.0,1025.7,1023.0,1.0,1.0,11.3,20.2
2013-05-27,10.6,20.2,3.4,3.2,7.1,41.0,22.0,24.0,84.0,58.0,1029.4,1028.2,5.0,5.0,11.6,19.4
2013-05-28,11.6,19.3,28.6,1.2,3.2,30.0,11.0,15.0,94.0,75.0,1032.8,1030.2,8.0,8.0,12.9,17.8
2013-05-29,11.3,21.1,0.2,2.0,4.9,20.0,15.0,15.0,94.0,60.0,1031.4,1027.8,8.0,3.0,12.3,20.6
2013-05-30,11.7,21.4,0.0,2.6,5.7,24.0,15.0,7.0,90.0,67.0,1029.3,1025.9,4.0,5.0,12.8,20.0
2013-05-31,11.8,24.9,0.0,1.6,9.1,,9.0,13.0,84.0,40.0,1028.0,1023.8,1.0,5.0,13.9,24.1
2013-06-01,13.9,21.2,0.0,4.0,3.0,52.0,11.0,17.0,62.0,61.0,1019.4,1014.1,6.0,7.0,18.7,19.9
2013-06-02,14.4,15.8,14.8,3.0,1.8,81.0,20.0,24.0,92.0,68.0,1006.1,1009.8,8.0,7.0,14.7,14.0
2013-06-03,9.9,19.5,34.4,4.6,9.7,,24.0,13.0,57.0,44.0,1020.5,1018.9,1.0,1.0,11.7,19.1
2013-06-04,10.3,21.1,0.0,3.6,9.3,41.0,24.0,9.0,66.0,53.0,1026.3,1023.8,3.0,1.0,12.2,20.7
2013-06-05,10.5,19.3,0.0,3.4,2.3,26.0,7.0,13.0,87.0,70.0,1025.8,1021.6,8.0,7.0,11.7,18.3
2013-06-06,11.7,20.1,0.0,1.6,2.3,26.0,15.0,6.0,61.0,59.0,1022.8,1020.0,7.0,8.0,14.9,19.2
2013-06-07,14.9,22.2,0.0,2.0,1.8,41.0,20.0,15.0,70.0,55.0,1019.8,1018.5,8.0,6.0,18.5,21.6
2013-06-08,13.5,19.2,0.0,3.0,1.5,43.0,19.0,11.0,73.0,53.0,1030.7,1028.6,7.0,7.0,14.2,17.5
2013-06-09,11.0,18.9,0.0,7.0,6.9,26.0,13.0,15.0,80.0,63.0,1028.6,1024.3,4.0,7.0,12.6,18.4
2013-06-10,10.5,21.5,0.0,1.4,3.9,28.0,13.0,17.0,90.0,67.0,1021.6,1018.7,2.0,8.0,11.1,18.5
2013-06-11,10.5,19.6,0.8,0.2,8.5,30.0,17.0,9.0,94.0,54.0,1021.0,1017.6,3.0,6.0,11.3,18.4
2013-06-12,10.4,16.0,0.0,2.0,1.0,41.0,13.0,19.0,85.0,90.0,1015.1,1009.7,7.0,6.0,11.6,15.8
2013-06-13,10.6,20.9,8.4,0.6,8.6,48.0,15.0,20.0,89.0,45.0,1007.0,1004.3,3.0,3.0,13.4,20.1
2013-06-14,11.7,20.1,0.0,3.6,7.0,46.0,17.0,22.0,64.0,46.0,1005.2,1002.9,2.0,6.0,14.0,18.5
2013-06-15,13.0,17.6,0.0,4.0,5.0,43.0,24.0,11.0,58.0,46.0,1009.9,1009.9,4.0,7.0,13.8,17.3
2013-06-16,9.7,19.1,0.0,3.2,9.5,41.0,24.0,15.0,59.0,50.0,1014.4,1011.6,2.0,4.0,11.8,16.6
2013-06-17,8.5,17.7,0.0,3.8,3.8,44.0,26.0,17.0,65.0,56.0,1009.5,1008.3,6.0,6.0,11.0,15.7
2013-06-18,8.0,19.2,0.0,1.6,8.0,43.0,26.0,17.0,76.0,52.0,1013.5,1012.2,1.0,2.0,9.6,16.1
2013-06-19,8.7,16.1,15.6,3.2,0.0,52.0,24.0,26.0,80.0,65.0,1021.7,1021.3,6.0,7.0,10.5,14.3
2013-06-20,8.7,16.6,1.4,2.8,7.2,39.0,26.0,20.0,71.0,57.0,1024.2,1021.0,3.0,6.0,9.9,15.6
2013-06-21,8.0,17.3,0.0,2.0,8.1,31.0,19.0,15.0,79.0,58.0,1021.6,1019.1,5.0,2.0,9.6,16.1
2013-06-22,7.7,13.5,1.2,2.4,0.0,39.0,26.0,17.0,87.0,83.0,1024.9,1024.2,7.0,7.0,7.9,11.9
2013-06-23,7.6,13.9,56.2,0.4,0.2,41.0,7.0,19.0,93.0,90.0,1028.5,1026.7,7.0,7.0,11.0,11.9
2013-06-24,9.6,13.8,53.4,0.2,0.1,39.0,17.0,11.0,91.0,77.0,1021.7,1017.9,7.0,7.0,10.2,13.1
2013-06-25,10.0,16.7,5.0,2.4,0.2,41.0,17.0,9.0,93.0,90.0,1016.3,1014.8,8.0,6.0,10.6,13.8
2013-06-26,10.5,19.8,15.6,1.4,4.3,52.0,31.0,20.0,84.0,63.0,1019.8,1020.0,7.0,7.0,16.7,19.2
2013-06-27,12.8,18.8,0.8,3.4,2.4,26.0,15.0,19.0,93.0,64.0,1022.9,1020.7,7.0,7.0,13.4,17.6
2013-06-28,12.9,16.1,16.8,2.8,0.0,41.0,9.0,15.0,93.0,83.0,1023.7,1022.5,7.0,7.0,13.3,16.0
2013-06-29,12.7,14.2,41.0,3.2,0.0,28.0,9.0,9.0,90.0,87.0,1024.8,1023.0,8.0,8.0,13.6,13.2
2013-06-30,11.3,17.1,51.0,2.0,2.2,37.0,11.0,9.0,94.0,82.0,1025.7,1023.5,7.0,5.0,12.4,16.6
2013-07-01,8.8,20.1,9.8,0.8,9.8,26.0,20.0,7.0,89.0,56.0,1024.4,1021.9,1.0,1.0,10.3,18.5
2013-07-02,8.8,19.9,0.0,2.2,9.8,33.0,20.0,4.0,77.0,46.0,1024.9,1021.0,1.0,2.0,10.2,18.9
2013-07-03,8.1,19.8,0.0,2.2,9.5,26.0,19.0,13.0,82.0,53.0,1024.4,1020.8,1.0,0.0,9.5,19.2
2013-07-04,8.5,23.4,0.0,2.6,9.8,43.0,17.0,22.0,57.0,38.0,1016.3,1011.5,0.0,1.0,14.7,22.6
2013-07-05,14.7,19.5,0.0,4.0,9.7,65.0,20.0,33.0,54.0,30.0,1010.9,1010.8,1.0,1.0,16.0,18.5
2013-07-06,7.8,17.4,0.0,4.2,9.8,37.0,13.0,19.0,57.0,31.0,1020.1,1018.1,0.0,0.0,10.2,17.1
2013-07-07,7.4,19.1,0.0,4.0,9.5,35.0,19.0,11.0,62.0,35.0,1026.9,1025.6,1.0,1.0,10.0,17.7
2013-07-08,7.4,19.2,0.0,2.2,9.1,33.0,19.0,17.0,68.0,36.0,1031.7,1029.9,0.0,3.0,9.3,17.7
2013-07-09,8.7,13.6,1.6,3.0,1.0,30.0,19.0,17.0,83.0,84.0,1035.0,1033.6,5.0,7.0,9.3,11.8
2013-07-10,8.9,15.9,8.0,1.2,2.7,24.0,17.0,13.0,84.0,71.0,1033.5,1031.6,7.0,6.0,10.3,14.8
2013-07-11,8.2,18.4,0.0,1.2,8.2,30.0,20.0,9.0,91.0,62.0,1035.3,1032.2,2.0,5.0,9.1,17.0
2013-07-12,8.3,20.2,0.2,1.2,8.4,30.0,17.0,6.0,92.0,46.0,1031.1,1027.1,1.0,1.0,9.6,19.2
2013-07-13,8.3,17.4,0.0,3.0,5.0,26.0,15.0,2.0,85.0,61.0,1029.2,1027.3,7.0,6.0,10.9,17.3
2013-07-14,8.9,18.4,0.0,1.0,8.5,24.0,11.0,15.0,88.0,60.0,1028.4,1025.4,4.0,8.0,10.7,17.5
2013-07-15,10.7,22.0,0.2,3.6,1.7,33.0,4.0,13.0,78.0,58.0,1024.6,1021.9,7.0,7.0,15.4,19.4
2013-07-16,14.4,21.6,1.4,0.2,3.4,26.0,9.0,13.0,88.0,67.0,1024.7,1022.1,7.0,4.0,15.1,19.6
2013-07-17,13.0,24.3,4.8,1.8,8.7,22.0,9.0,9.0,85.0,48.0,1023.8,1020.6,4.0,3.0,14.5,23.0
2013-07-18,13.3,22.6,0.0,2.4,3.9,30.0,7.0,13.0,85.0,72.0,1022.9,1019.4,7.0,7.0,15.1,19.4
2013-07-19,15.0,20.4,0.0,3.2,1.6,57.0,15.0,17.0,66.0,73.0,1015.7,1011.7,4.0,7.0,18.1,17.5
2013-07-20,14.5,20.4,0.8,2.4,8.9,48.0,17.0,26.0,65.0,38.0,1009.3,1005.4,2.0,2.0,16.5,19.8
2013-07-21,8.5,16.3,0.2,6.4,10.1,54.0,24.0,31.0,49.0,29.0,1016.0,1013.2,1.0,1.0,11.0,16.0
2013-07-22,8.7,17.2,0.0,3.8,9.9,54.0,17.0,26.0,54.0,28.0,1019.4,1016.3,2.0,2.0,12.2,16.6
2013-07-23,7.1,17.7,0.0,3.2,8.0,44.0,17.0,19.0,60.0,42.0,1019.9,1018.5,1.0,7.0,11.0,15.9
2013-07-24,10.1,17.0,0.0,4.0,4.8,48.0,17.0,20.0,61.0,46.0,1026.6,1026.4,1.0,6.0,12.3,16.6
2013-07-25,7.4,19.6,0.0,3.0,8.6,33.0,20.0,9.0,72.0,38.0,1029.8,1026.6,1.0,3.0,8.8,17.9
2013-07-26,7.9,20.3,0.0,3.4,9.3,22.0,15.0,7.0,75.0,32.0,1025.9,1023.3,5.0,1.0,9.2,19.5
2013-07-27,7.4,18.7,0.0,1.8,9.9,28.0,22.0,15.0,62.0,56.0,1031.0,1028.2,1.0,1.0,9.4,17.8
2013-07-28,8.3,18.8,0.0,3.6,6.8,26.0,7.0,17.0,84.0,64.0,1029.8,1025.8,6.0,6.0,9.7,18.1
2013-07-29,9.7,24.0,0.0,2.6,10.2,37.0,22.0,11.0,53.0,35.0,1025.2,1020.8,6.0,1.0,17.6,23.3
2013-07-30,11.1,21.5,0.0,3.4,3.4,48.0,13.0,6.0,73.0,49.0,1019.9,1017.8,6.0,5.0,12.8,19.7
2013-07-31,12.6,18.4,5.6,2.6,8.1,43.0,20.0,22.0,82.0,61.0,1023.9,1022.7,7.0,4.0,13.9,17.0
2013-08-01,8.1,19.6,0.0,3.4,10.1,30.0,24.0,15.0,71.0,54.0,1023.3,1020.1,2.0,3.0,11.0,17.5
2013-08-02,9.1,20.3,0.0,2.2,6.8,31.0,15.0,19.0,83.0,31.0,1018.0,1012.7,7.0,3.0,10.9,19.7
2013-08-03,10.4,19.6,0.0,3.6,10.0,37.0,7.0,4.0,51.0,29.0,1016.0,1012.1,4.0,1.0,13.5,19.2
2013-08-04,10.9,19.9,0.0,4.2,8.5,44.0,9.0,24.0,54.0,29.0,1013.6,1012.2,6.0,5.0,14.0,18.0
2013-08-05,9.5,21.0,0.0,3.8,10.0,50.0,11.0,15.0,52.0,34.0,1017.6,1013.6,1.0,2.0,13.1,20.4
2013-08-06,11.9,23.9,0.0,5.6,8.7,52.0,20.0,17.0,48.0,30.0,1011.9,1008.0,5.0,5.0,16.4,22.1
2013-08-07,10.8,17.9,0.8,4.8,8.3,35.0,17.0,15.0,57.0,49.0,1013.6,1009.3,2.0,7.0,13.0,16.0
2013-08-08,9.3,13.1,9.6,3.8,1.3,57.0,24.0,24.0,85.0,74.0,1008.3,1009.8,7.0,7.0,9.3,12.6
2013-08-09,7.0,17.4,4.2,0.6,6.7,35.0,20.0,9.0,60.0,43.0,1018.9,1014.0,4.0,7.0,11.2,17.1
2013-08-10,10.5,23.5,0.0,4.0,10.6,31.0,11.0,11.0,46.0,33.0,1016.0,1013.4,0.0,1.0,13.4,23.5
2013-08-11,9.0,21.8,0.0,3.8,10.4,31.0,13.0,11.0,61.0,38.0,1018.2,1013.5,1.0,1.0,12.7,19.2
2013-08-12,12.0,24.4,0.2,3.8,5.4,94.0,9.0,48.0,40.0,40.0,1005.8,1004.2,3.0,7.0,19.6,18.9
2013-08-13,9.6,22.8,0.0,5.8,10.8,35.0,13.0,9.0,35.0,25.0,1013.7,1012.2,1.0,1.0,14.5,22.2
2013-08-14,12.5,24.1,0.0,4.2,10.7,39.0,24.0,17.0,39.0,22.0,1013.6,1007.7,2.0,1.0,15.9,23.9
2013-08-15,10.5,18.7,0.0,8.0,10.7,57.0,24.0,19.0,42.0,29.0,1019.0,1019.8,1.0,1.0,12.3,17.7
2013-08-16,7.3,20.6,0.0,3.6,10.7,41.0,17.0,26.0,61.0,36.0,1023.7,1016.9,0.0,0.0,10.8,19.1
2013-08-17,10.7,24.4,0.0,6.2,10.5,57.0,20.0,26.0,41.0,34.0,1010.1,1006.7,1.0,4.0,17.6,22.6
2013-08-18,11.3,23.3,0.0,6.6,10.7,39.0,15.0,20.0,38.0,28.0,1016.9,1011.9,0.0,1.0,16.2,22.8
2013-08-19,13.6,20.9,0.0,7.8,9.9,59.0,7.0,39.0,33.0,25.0,1009.7,1007.0,2.0,5.0,17.0,19.8
2013-08-20,8.4,16.6,0.0,6.2,10.8,56.0,26.0,22.0,43.0,26.0,1013.7,1011.9,1.0,1.0,10.7,15.4
2013-08-21,7.6,18.1,0.0,3.0,10.3,50.0,20.0,20.0,50.0,30.0,1016.3,1013.4,2.0,3.0,11.3,17.5
2013-08-22,7.6,18.1,0.0,5.6,6.7,50.0,19.0,24.0,48.0,32.0,1013.8,1010.2,7.0,7.0,12.5,17.7
2013-08-23,11.8,18.6,0.0,4.0,2.5,56.0,20.0,28.0,50.0,42.0,1010.2,1008.5,7.0,7.0,14.8,17.4
2013-08-24,12.2,22.7,0.0,4.0,10.8,35.0,26.0,19.0,52.0,42.0,1020.1,1020.0,2.0,4.0,15.9,21.8
2013-08-25,9.9,23.6,0.0,4.2,10.7,35.0,17.0,17.0,72.0,53.0,1024.0,1020.4,1.0,1.0,12.7,19.6
2013-08-26,10.3,22.0,0.0,3.6,9.6,33.0,20.0,11.0,54.0,30.0,1024.6,1020.4,3.0,6.0,14.2,21.6
2013-08-27,11.5,21.9,0.0,2.2,9.4,24.0,20.0,15.0,58.0,60.0,1022.0,1018.6,4.0,2.0,15.4,19.9
2013-08-28,11.8,23.3,0.0,3.0,10.8,39.0,20.0,24.0,72.0,38.0,1021.5,1020.2,1.0,2.0,14.9,22.1
2013-08-29,11.4,21.8,0.0,3.8,6.7,56.0,17.0,17.0,69.0,59.0,1024.4,1019.4,6.0,7.0,15.3,20.0
2013-08-30,15.2,24.7,0.0,5.2,10.2,39.0,22.0,6.0,46.0,53.0,1015.1,1011.4,1.0,1.0,21.7,23.5
2013-08-31,14.9,24.5,0.0,5.8,8.2,30.0,22.0,11.0,60.0,34.0,1021.5,1020.0,7.0,4.0,15.9,23.6
2013-09-01,11.4,22.2,0.0,4.8,10.1,26.0,17.0,20.0,57.0,62.0,1028.5,1026.6,1.0,1.0,15.8,20.6
2013-09-02,12.2,22.0,0.0,4.0,11.0,28.0,19.0,17.0,71.0,41.0,1031.2,1029.1,6.0,2.0,15.9,21.4
2013-09-03,12.0,21.9,0.0,4.2,10.4,31.0,11.0,20.0,66.0,56.0,1034.0,1031.3,1.0,1.0,16.4,21.2
2013-09-04,12.2,21.1,0.0,3.8,10.1,41.0,13.0,20.0,75.0,52.0,1033.6,1028.7,1.0,1.0,15.7,20.7
